,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
32,98055,1,1.0,5,5,5,2,5,4,1,3,3,3,2,2,2,3,3,1,1,1,1,2,3,1.0,1,2,2,3,1,1.0,1,1,1,1.0,2,4,4,4,4,4,4,4,1,1,2,1,2,2,2,2,1,2,2,2,2,2,34,1,3,3,1,1,1.0,0.514611982,,,,,2018,6,17
33,98058,1,1.0,5,5,5,3,5,4,1,4,4,4,3,1,1,1,1,1,1,1,1,1,3,1.0,2,2,3,3,2,3.0,2,2,1,3.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,58,3,3,1,2,1,3.0,0.591164704,,,,,2018,6,17
34,98188,1,1.0,5,5,5,1,5,3,1,4,4,4,3,1,1,2,1,1,1,1,1,2,2,1.0,2,1,2,1,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,48,2,3,3,2,1,2.0,0.619164583,,,,,2018,6,17
35,98177,1,1.0,3,3,3,2,3,3,2,2,3,3,2,2,2,2,1,1,1,1,1,2,2,1.0,2,3,2,3,3,1.0,1,1,1,3.0,2,3,3,2,3,3,3,3,2,2,2,2,1,1,2,2,1,1,1,1,2,2,43,2,4,3,3,1,2.0,0.491949338,,,,,2018,6,17
36,98047,2,,5,5,4,3,4,4,1,4,4,2,1,1,1,1,1,1,1,1,1,1,3,1.0,2,3,2,1,3,1.0,3,3,1,2.0,2,4,4,4,4,4,4,4,1,2,1,2,1,1,1,1,1,1,2,1,2,2,50,3,3,3,1,2,2.0,0.746812577,,,,,2018,6,17
37,98125,1,1.0,5,5,5,5,5,4,2,4,4,3,2,1,2,3,2,2,1,3,3,2,2,1.0,2,3,3,3,3,1.0,1,1,1,2.0,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,1,70,4,3,3,3,1,2.0,0.61528162,,,,,2018,6,17
38,98198,1,1.0,5,5,5,3,5,3,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,3.0,2,2,2,3,2,3.0,2,2,3,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,50,3,3,1,3,1,2.0,0.756265901,,,,,2018,6,17
39,98101,1,5.0,3,5,6,1,4,3,2,3,1,3,3,1,1,1,1,1,1,1,1,1,2,1.0,2,2,1,1,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,51,3,3,1,1,1,2.0,0.603876568,,,,,2018,6,17
40,98125,1,1.0,5,5,5,5,5,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,3,3.0,2,2,2,1,3,3.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,1,1,1,1,2,2,39,2,7,3,3,2,1.0,0.491949338,,,,,2018,6,17
41,98104,1,1.0,5,5,5,5,5,4,4,4,4,4,2,2,2,3,2,3,2,1,1,2,2,1.0,3,2,2,1,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,21,1,8,4,1,1,1.0,0.555738544,,,,,2018,6,17
