,Unnamed: 0,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
74,74,98198,2,,5,5,5,5,5,2,2,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1.0,1,1,2,1,1,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,57,3,3,2,1,1,2.0,0.576568044,,,,,2018,6,17
75,75,98002,1,1.0,5,5,5,1,3,1,1,3,3,2,3,3,2,2,2,2,1,1,1,3,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,2,4,4,4,4,1,1,1,2,2,2,2,2,2,2,2,2,2,1,57,3,3,2,3,1,1.0,0.607542766,,,,,2018,6,17
79,79,98126,1,1.0,5,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,2,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,3,4,4,4,1,1,1,2,2,1,2,2,2,2,2,2,2,2,70,4,3,2,2,1,2.0,0.788583249,,,,,2018,6,17
82,82,98125,3,,5,5,5,3,5,4,2,3,4,5,2,1,2,5,1,1,2,1,2,2,3,1.0,2,2,2,3,2,2.0,2,2,1,3.0,2,3,4,4,3,3,4,4,1,2,2,1,1,1,1,2,1,1,1,1,2,1,73,4,8,2,1,1,1.0,2.202997327,,,,,2018,6,17
102,102,98042,1,1.0,1,2,3,5,5,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1.0,2,2,2,3,3,2.0,3,3,2,3.0,2,3,3,3,3,3,3,3,2,2,2,2,1,1,1,2,2,2,2,1,2,1,59,3,3,1,2,1,2.0,0.61513705,,,,,2018,6,17
106,106,98103,1,3.0,5,5,3,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2.0,2,2,2,1,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,64,3,3,3,2,1,1.0,0.61513705,,,,,2018,6,17
107,107,98177,2,,5,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,1,2,1.0,2,1,2,2,1,2.0,2,1,1,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,2,2,1,1,2,2,67,4,3,2,2,1,2.0,0.788583249,,,,,2018,6,17
111,111,98166,1,6.0,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,2,2,2.0,2,3,2,3,3,2.0,3,3,2,3.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,2,1,1,2,2,64,3,2,2,1,2,2.0,2.102672358,,,,,2018,6,17
115,115,98038,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,3,1,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,2,1,1,1,2,1,61,3,4,3,1,2,3.0,1.183395563,,,,,2018,6,17
119,119,98006,2,,5,5,5,5,5,3,2,4,4,4,2,1,1,1,1,1,1,2,1,1,3,1.0,2,1,3,1,1,3.0,1,1,1,1.0,2,4,4,4,4,4,4,4,1,1,1,2,1,2,1,1,1,1,1,1,2,2,65,4,4,2,3,1,2.0,5.218379803,,,,,2018,6,17
122,122,98122,1,1.0,5,4,5,2,5,3,1,3,4,4,2,1,1,1,1,1,1,1,2,1,2,1.0,2,2,1,1,3,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,2,2,1,2,1,1,1,1,2,2,67,4,1,4,3,1,1.0,9.798847146,,,,,2018,6,17
127,127,98003,2,,5,5,5,5,5,4,1,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,61,3,3,2,1,2,2.0,0.576568044,,,,,2018,6,17
128,128,98115,1,3.0,5,5,5,5,5,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,3,3,3,2.0,3,3,1,2.0,2,4,4,1,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1,1,2,2,68,4,3,2,2,1,1.0,0.788583249,,,,,2018,6,17
130,130,98166,2,,4,5,4,6,5,3,2,4,4,5,2,1,1,2,1,1,1,1,2,5,3,1.0,2,2,3,1,1,2.0,2,2,3,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,69,4,3,1,2,1,2.0,0.788583249,,,,,2018,6,17
139,139,98023,1,6.0,5,5,5,3,5,3,2,4,4,4,2,1,1,1,1,1,1,1,1,1,2,1.0,2,2,1,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,57,3,3,3,3,1,2.0,0.583866374,,,,,2018,6,17
148,148,98144,2,,5,5,5,5,5,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,2,3.0,2,3,1,1,3,2.0,1,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,2,2,2,2,2,1,60,3,3,2,1,2,1.0,0.599948481,,,,,2018,6,17
153,153,98198,1,1.0,3,5,5,3,5,3,3,3,3,3,2,2,2,2,2,2,1,1,1,2,2,2.0,2,2,2,2,2,2.0,2,2,2,2.0,2,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,57,3,3,4,4,2,2.0,1.459665935,,,,,2018,6,17
158,158,98003,2,,5,5,4,3,5,3,2,3,3,3,3,1,2,2,2,1,1,2,2,2,2,1.0,2,2,2,2,1,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,63,3,3,2,1,1,2.0,0.576568044,,,,,2018,6,17
159,159,98011,1,1.0,4,4,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,3,1,2,1.0,2,2,1,2.0,2,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,2,2,59,3,3,2,1,1,2.0,0.576568044,,,,,2018,6,17
165,165,98038,1,1.0,5,5,5,5,5,4,4,4,4,4,2,2,1,3,2,1,1,2,2,2,3,1.0,2,2,2,1,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,2,1,1,1,2,1,56,3,3,4,5,1,2.0,1.822628297,,,,,2018,6,17
179,179,98177,1,1.0,5,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,1,2,1.0,2,2,2,1,3,2.0,3,2,1,1.0,1,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,2,1,61,3,3,1,1,1,1.0,0.599948481,,,,,2018,6,18
181,181,98116,1,3.0,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2.0,2,2,2,2,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,2,1,1,2,1,57,3,7,3,1,1,2.0,1.183395563,,,,,2018,6,18
186,186,98102,1,4.0,5,5,5,5,5,4,3,4,4,4,2,1,1,2,2,2,2,1,1,2,2,1.0,2,2,1,1,1,3.0,2,2,3,2.0,2,4,4,4,4,4,4,4,1,1,1,2,2,1,1,2,2,1,1,1,2,2,59,3,3,2,2,1,1.0,0.591164704,,,,,2018,6,18
187,187,98119,1,1.0,5,5,5,2,5,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,4,4,4,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,61,3,7,2,2,1,1.0,1.213354944,,,,,2018,6,18
192,192,98031,2,,5,5,5,4,5,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,3,1.0,2,2,2,3,2,3.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,70,4,4,3,2,1,2.0,5.28360955,,,,,2018,6,18
194,195,98006,1,1.0,3,2,5,2,2,4,2,3,4,3,2,1,1,2,2,1,1,1,1,2,2,3.0,2,3,2,3,3,3.0,3,3,3,2.0,2,4,3,3,4,5,5,5,1,2,1,2,2,1,1,2,2,2,1,1,2,2,57,3,3,3,5,1,2.0,1.751599122,,,,,2018,6,18
197,198,98042,1,1.0,3,5,3,5,5,4,3,4,4,4,4,1,1,1,1,1,1,1,1,1,2,3.0,2,2,2,3,2,2.0,2,2,3,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,2,1,1,1,2,2,56,3,3,3,4,1,2.0,1.459665935,,,,,2018,6,18
200,201,98002,1,1.0,5,5,3,5,5,4,2,4,4,4,1,1,1,2,1,1,1,1,1,2,3,1.0,2,2,2,1,2,3.0,2,2,1,3.0,2,4,4,4,4,4,4,4,1,1,1,1,2,2,2,2,1,1,1,1,2,1,57,3,3,4,3,1,2.0,0.607542766,,,,,2018,6,18
210,211,98391,2,,5,5,3,3,5,2,2,4,4,4,2,1,1,2,1,1,1,1,1,2,2,1.0,2,2,2,3,3,2.0,2,2,2,2.0,2,3,4,4,3,3,4,4,2,2,2,1,1,1,1,2,1,1,1,1,2,2,75,4,3,3,4,1,3.0,4.110322022,,,,,2018,6,18
224,225,98042,2,,3,3,5,2,5,3,2,3,3,3,2,2,1,1,1,1,1,1,2,1,2,1.0,2,2,2,1,1,2.0,1,1,1,2.0,2,4,3,4,4,4,4,4,2,2,2,1,1,1,1,2,1,2,1,1,2,2,66,4,3,3,1,1,1.0,0.769112058,,,,,2018,6,18
226,227,98133,2,,5,5,5,5,5,4,4,4,4,4,2,1,1,2,1,2,1,2,3,1,2,1.0,2,2,1,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,1,1,2,2,57,3,3,4,2,2,1.0,0.591164704,,,,,2018,6,18
243,244,98105,2,,5,5,5,5,5,4,4,4,4,4,1,1,2,3,1,2,1,1,2,2,3,1.0,2,2,1,1,2,3.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,2,1,1,2,1,1,1,1,2,2,1,2,1,66,4,3,2,1,2,1.0,0.6075906,,,,,2018,6,18
251,252,98074,2,,5,5,5,5,5,4,2,4,4,5,1,1,1,2,2,1,1,1,1,5,2,1.0,2,2,2,3,3,3.0,3,3,1,3.0,2,4,4,4,4,4,4,4,1,2,1,1,1,1,1,2,2,1,1,1,2,1,70,4,3,3,4,1,2.0,1.538204051,,,,,2018,6,18
254,255,98010,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,2,2.0,2,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,71,4,3,1,1,1,3.0,0.769112058,,,,,2018,6,18
257,258,98033,2,,5,5,5,3,5,3,2,4,4,4,2,1,1,2,1,1,1,1,2,1,2,1.0,2,2,2,1,3,3.0,2,2,1,2.0,2,4,4,4,4,4,3,4,2,2,2,1,2,2,1,2,2,2,2,2,2,2,68,4,3,3,4,1,2.0,1.947119133,,,,,2018,6,18
259,260,98004,1,6.0,3,3,3,2,2,2,2,3,3,5,3,2,2,2,2,1,1,2,2,5,3,1.0,3,3,3,3,3,3.0,3,3,1,3.0,2,2,4,2,5,3,3,3,2,2,1,1,2,2,2,2,2,1,1,1,2,1,68,4,3,4,5,1,1.0,1.845844861,,,,,2018,6,18
261,262,98391,1,1.0,3,3,5,5,5,4,3,4,4,4,1,2,1,2,2,1,1,1,2,1,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,1,1,1,1,2,2,58,3,3,3,5,1,3.0,1.751599122,,,,,2018,6,18
