,Unnamed: 0,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
81,81,98168,2,,5,5,5,3,5,4,2,4,4,3,2,1,2,3,2,1,1,1,1,2,2,1.0,2,2,3,3,2,2.0,3,3,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,29,1,3,2,2,1,1.0,0.527640133,,,,,2018,6,17
83,83,98038,2,,5,5,5,5,3,4,2,4,4,2,1,1,1,3,1,1,1,1,2,2,2,1.0,2,1,2,2,2,2.0,1,1,2,2.0,2,3,4,3,4,4,4,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,22,1,3,2,2,1,3.0,0.541231061,,,,,2018,6,17
85,85,98052,1,3.0,4,5,4,4,4,3,2,5,4,3,5,1,1,2,1,1,1,1,1,2,3,1.0,1,2,2,1,2,1.0,1,2,1,1.0,2,3,4,4,3,4,3,4,1,1,2,2,1,1,2,1,2,2,2,1,2,2,19,1,4,2,4,1,2.0,1.92150217,,,,,2018,6,17
88,88,98109,2,,1,5,2,1,3,3,3,3,4,1,2,2,2,1,2,1,3,1,2,2,1,1.0,2,1,2,2,2,1.0,1,1,1,3.0,2,4,3,4,3,3,4,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,27,1,4,4,3,1,2.0,0.534397246,,,,,2018,6,17
94,94,98003,2,,5,5,5,3,5,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,3,3.0,3,3,3,3,3,3.0,3,3,3,3.0,3,4,5,4,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,26,1,3,1,4,1,3.0,1.333411193,,,,,2018,6,17
96,96,98133,1,3.0,3,3,3,2,5,3,2,3,3,4,3,2,1,2,2,2,1,1,4,2,2,1.0,2,2,2,3,2,1.0,3,2,1,2.0,2,4,4,4,4,4,4,4,1,1,2,2,1,1,1,2,2,2,2,1,2,1,23,1,3,2,1,1,1.0,0.527867331,,,,,2018,6,17
99,99,98106,2,,1,2,1,2,4,2,1,3,4,4,3,1,1,1,1,1,1,1,2,2,1,1.0,2,2,2,1,3,2.0,1,1,1,2.0,2,4,4,4,4,4,4,4,1,1,2,2,2,2,1,1,2,2,2,2,2,2,18,1,1,1,2,1,1.0,0.390789677,,,,,2018,6,17
100,100,98038,1,1.0,2,4,2,2,5,2,2,4,4,4,3,1,2,3,2,2,1,1,2,2,3,1.0,2,1,1,1,2,1.0,1,2,2,2.0,2,2,3,4,4,4,4,4,1,1,1,1,2,2,2,2,1,2,2,2,2,2,21,1,2,2,2,1,1.0,0.300803619,,,,,2018,6,17
101,101,98030,2,,5,5,5,4,5,3,1,4,4,3,2,1,1,2,2,1,1,1,1,2,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,27,1,3,3,3,1,2.0,0.521126057,,,,,2018,6,17
104,104,98102,2,,3,3,5,3,3,3,1,3,3,3,2,1,1,2,1,2,1,2,3,2,2,1.0,2,2,2,3,2,2.0,2,2,1,2.0,2,3,3,3,3,2,3,3,2,2,2,1,1,2,1,2,2,2,1,2,2,2,29,1,1,1,2,1,2.0,0.838384123,,,,,2018,6,17
