,Unnamed: 0,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
76,76,98125,1,3.0,5,5,5,2,3,3,1,3,3,3,2,2,2,3,2,1,1,1,1,3,2,1.0,2,1,1,1,1,2.0,1,1,1,2.0,2,4,3,3,4,4,4,4,2,2,2,2,2,2,2,2,1,2,1,1,2,2,53,3,3,4,5,1,1.0,2.268797703,,,,,2018,6,17
78,78,98119,1,3.0,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,2,3,1.0,2,2,2,1,3,3.0,3,3,1,3.0,2,3,3,3,3,3,3,3,1,1,1,2,1,1,1,2,1,2,1,1,2,2,44,2,1,3,3,1,1.0,1.988298075,,,,,2018,6,17
80,80,98032,2,,5,5,5,5,5,3,2,3,3,3,2,2,2,2,2,2,1,2,3,2,3,1.0,2,2,2,1,1,1.0,1,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,2,2,1,1,2,1,52,3,2,1,1,2,2.0,0.427458696,,,,,2018,6,17
84,84,98031,2,,5,5,4,3,6,4,2,4,4,3,2,3,1,2,2,1,1,1,1,2,2,2.0,1,2,2,1,2,1.0,2,3,1,3.0,2,3,3,3,4,4,4,4,1,2,2,2,1,2,1,2,2,2,1,2,2,2,34,1,4,3,2,1,2.0,0.541077212,,,,,2018,6,17
86,86,98055,1,3.0,3,3,3,3,3,5,2,3,3,3,2,2,1,1,1,1,1,1,1,2,3,3.0,2,2,2,3,2,2.0,2,2,1,2.0,2,3,3,3,3,3,3,3,2,2,2,1,1,1,1,2,2,2,1,1,2,2,49,2,3,3,2,1,2.0,0.765719225,,,,,2018,6,17
87,87,98002,2,,5,5,5,5,5,3,4,4,4,4,1,1,1,1,1,1,1,1,1,2,2,2.0,2,1,1,1,1,2.0,1,1,1,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,52,3,3,1,1,1,2.0,0.603876568,,,,,2018,6,17
89,89,98028,1,1.0,3,4,5,2,3,3,2,3,3,5,2,2,2,2,1,2,1,1,1,5,2,2.0,2,3,2,3,3,3.0,3,3,1,3.0,2,4,4,5,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,1,2,2,45,2,3,2,3,1,2.0,0.756265901,,,,,2018,6,17
90,90,98107,1,1.0,5,5,5,1,3,1,1,4,4,2,4,1,1,3,2,1,1,1,1,3,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,2,4,4,4,4,1,1,1,1,1,1,1,2,2,1,1,1,2,2,43,2,3,3,3,1,1.0,0.610353954,,,,,2018,6,17
91,91,98052,1,1.0,2,3,2,3,3,3,3,3,3,4,2,2,2,1,1,1,1,1,1,2,2,1.0,2,2,2,3,2,2.0,2,2,1,2.0,2,2,3,4,3,3,3,3,2,2,1,1,1,1,1,2,1,1,1,1,2,2,41,2,3,4,3,1,2.0,0.610353954,,,,,2018,6,17
92,92,98052,1,1.0,4,5,5,3,5,4,2,4,4,3,3,1,2,2,1,1,1,1,1,2,2,1.0,2,2,2,2,2,2.0,1,2,1,2.0,2,4,4,4,4,4,3,4,1,1,1,1,2,1,1,2,1,2,1,1,2,1,50,3,3,3,2,1,3.0,0.619164583,,,,,2018,6,17
93,93,98003,1,1.0,5,5,5,3,5,3,2,4,4,3,2,2,2,2,1,1,1,1,3,2,3,1.0,2,2,3,1,3,2.0,2,2,2,2.0,2,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,52,3,2,2,3,1,1.0,0.432869566,,,,,2018,6,17
95,95,98168,1,3.0,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1.0,2,2,2,1,1,1.0,1,1,1,1.0,2,4,4,4,4,4,4,4,1,1,1,2,1,2,2,2,2,2,2,2,2,1,43,2,3,3,2,2,2.0,0.695852517,,,,,2018,6,17
97,97,98003,1,1.0,5,5,5,4,5,4,2,4,4,4,1,1,1,2,1,1,1,1,1,1,2,1.0,1,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,1,2,2,2,1,2,2,2,55,3,3,4,3,1,2.0,0.583866374,,,,,2018,6,17
98,98,98391,2,,5,5,5,3,5,4,2,4,4,3,1,1,1,2,1,1,1,1,1,2,2,1.0,2,2,2,1,2,1.0,2,2,1,2.0,2,4,4,2,4,4,4,4,2,2,2,1,2,2,2,1,1,1,2,2,2,2,40,2,3,2,2,1,1.0,0.617983378,,,,,2018,6,17
103,103,98178,2,,5,5,5,5,5,4,4,4,4,4,4,2,2,1,1,1,1,1,2,1,2,1.0,3,3,2,3,3,3.0,3,3,3,3.0,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,36,2,4,3,1,1,2.0,0.485799972,,,,,2018,6,17
108,108,98004,1,1.0,3,5,5,5,5,4,3,3,4,4,2,2,1,1,1,2,2,2,2,2,3,3.0,2,2,2,1,2,2.0,2,2,2,2.0,3,4,4,4,4,4,4,4,1,1,1,2,1,2,2,1,2,2,2,2,2,1,46,2,3,3,2,1,2.0,0.619164583,,,,,2018,6,17
109,109,98126,1,1.0,5,5,3,3,5,4,2,3,4,3,3,1,2,3,2,2,1,2,2,2,2,1.0,2,2,2,3,3,1.0,1,2,2,1.0,2,4,3,2,4,4,4,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,34,1,3,4,4,1,2.0,1.302815143,,,,,2018,6,17
110,110,98155,1,3.0,3,3,5,3,1,2,1,3,3,3,3,2,1,2,2,1,1,1,1,2,2,2.0,2,2,2,2,2,2.0,2,2,1,2.0,2,4,2,2,4,2,4,3,2,2,1,2,1,2,1,2,2,2,1,1,2,2,32,1,3,3,3,1,2.0,0.521126057,,,,,2018,6,17
112,112,98391,2,,4,5,4,5,5,2,1,4,4,4,2,1,1,2,1,2,1,1,1,2,2,1.0,2,2,2,3,2,2.0,2,2,1,2.0,2,4,4,4,3,4,4,4,1,2,1,1,1,1,2,2,2,1,1,2,2,2,40,2,3,2,3,1,2.0,0.610353954,,,,,2018,6,17
113,113,98034,1,6.0,5,5,5,5,3,3,3,3,3,5,2,2,2,2,2,2,2,2,2,2,2,3.0,2,2,2,1,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,51,3,3,2,3,1,2.0,0.756265901,,,,,2018,6,17
114,114,98001,1,1.0,3,4,5,5,3,4,3,3,4,3,2,1,2,2,1,2,1,1,2,2,2,1.0,2,2,2,1,2,2.0,2,2,1,3.0,2,4,3,3,4,3,4,3,2,2,2,1,2,2,2,2,1,1,2,2,2,1,36,2,3,3,3,1,2.0,0.687261745,,,,,2018,6,17
116,116,98103,2,,2,3,5,1,3,4,1,3,4,5,1,1,1,2,1,1,1,1,1,5,3,3.0,3,3,3,3,3,3.0,3,3,3,3.0,3,4,3,2,4,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,33,1,3,3,5,1,1.0,1.563378172,,,,,2018,6,17
118,118,98125,1,3.0,5,5,5,5,5,4,2,4,4,4,1,1,1,1,1,2,1,1,2,2,3,3.0,2,3,3,3,3,3.0,3,3,1,3.0,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,35,2,3,2,1,2,1.0,0.678670973,,,,,2018,6,17
121,121,98058,2,,5,5,5,5,5,3,2,4,4,4,1,1,1,2,1,1,1,2,2,2,2,1.0,2,2,2,3,3,2.0,2,2,2,2.0,2,4,4,4,4,3,4,4,2,2,2,1,2,2,2,2,1,2,1,1,2,2,32,1,4,3,1,1,2.0,0.527717281,,,,,2018,6,17
